transmitter_id,transmittername,transmitter_codespace
56379.0,A69-1303-56379,A69-1303
56380.0,A69-1303-56380,A69-1303
56381.0,A69-1303-56381,A69-1303
56382.0,A69-1303-56382,A69-1303
56383.0,A69-1303-56383,A69-1303
56384.0,A69-1303-56384,A69-1303
56385.0,A69-1303-56385,A69-1303
56386.0,A69-1303-56386,A69-1303
56387.0,A69-1303-56387,A69-1303
56388.0,A69-1303-56388,A69-1303
56389.0,A69-1303-56389,A69-1303
56390.0,A69-1303-56390,A69-1303
56391.0,A69-1303-56391,A69-1303
56392.0,A69-1303-56392,A69-1303
56393.0,A69-1303-56393,A69-1303
56394.0,A69-1303-56394,A69-1303
56395.0,A69-1303-56395,A69-1303
56396.0,A69-1303-56396,A69-1303
56397.0,A69-1303-56397,A69-1303
56398.0,A69-1303-56398,A69-1303
56399.0,A69-1303-56399,A69-1303
56400.0,A69-1303-56400,A69-1303
56401.0,A69-1303-56401,A69-1303
56402.0,A69-1303-56402,A69-1303
56403.0,A69-1303-56403,A69-1303
56404.0,A69-1303-56404,A69-1303
56405.0,A69-1303-56405,A69-1303
56406.0,A69-1303-56406,A69-1303
56407.0,A69-1303-56407,A69-1303
56408.0,A69-1303-56408,A69-1303
56409.0,A69-1303-56409,A69-1303
56410.0,A69-1303-56410,A69-1303
56411.0,A69-1303-56411,A69-1303
56412.0,A69-1303-56412,A69-1303
56414.0,A69-1303-56414,A69-1303
56415.0,A69-1303-56415,A69-1303
56416.0,A69-1303-56416,A69-1303
56417.0,A69-1303-56417,A69-1303
56418.0,A69-1303-56418,A69-1303
56419.0,A69-1303-56419,A69-1303
56420.0,A69-1303-56420,A69-1303
56421.0,A69-1303-56421,A69-1303
56423.0,A69-1303-56423,A69-1303
56424.0,A69-1303-56424,A69-1303
56425.0,A69-1303-56425,A69-1303
56426.0,A69-1303-56426,A69-1303
56428.0,A69-1303-56428,A69-1303
56430.0,A69-1303-56430,A69-1303
56431.0,A69-1303-56431,A69-1303
56432.0,A69-1303-56432,A69-1303
56434.0,A69-1303-56434,A69-1303
56436.0,A69-1303-56436,A69-1303
56437.0,A69-1303-56437,A69-1303
56438.0,A69-1303-56438,A69-1303
56440.0,A69-1303-56440,A69-1303
56441.0,A69-1303-56441,A69-1303
56442.0,A69-1303-56442,A69-1303
56443.0,A69-1303-56443,A69-1303
56445.0,A69-1303-56445,A69-1303
56446.0,A69-1303-56446,A69-1303
56449.0,A69-1303-56449,A69-1303
56450.0,A69-1303-56450,A69-1303
56454.0,A69-1303-56454,A69-1303
56456.0,A69-1303-56456,A69-1303
56457.0,A69-1303-56457,A69-1303
56458.0,A69-1303-56458,A69-1303
56459.0,A69-1303-56459,A69-1303
56460.0,A69-1303-56460,A69-1303
56461.0,A69-1303-56461,A69-1303
56462.0,A69-1303-56462,A69-1303
56463.0,A69-1303-56463,A69-1303
56465.0,A69-1303-56465,A69-1303
56466.0,A69-1303-56466,A69-1303
56467.0,A69-1303-56467,A69-1303
56468.0,A69-1303-56468,A69-1303
56469.0,A69-1303-56469,A69-1303
56470.0,A69-1303-56470,A69-1303
56471.0,A69-1303-56471,A69-1303
56472.0,A69-1303-56472,A69-1303
56473.0,A69-1303-56473,A69-1303
56474.0,A69-1303-56474,A69-1303
56475.0,A69-1303-56475,A69-1303
56476.0,A69-1303-56476,A69-1303
56477.0,A69-1303-56477,A69-1303
56479.0,A69-1303-56479,A69-1303
56480.0,A69-1303-56480,A69-1303
56482.0,A69-1303-56482,A69-1303
56483.0,A69-1303-56483,A69-1303
56484.0,A69-1303-56484,A69-1303
56486.0,A69-1303-56486,A69-1303
56487.0,A69-1303-56487,A69-1303
56488.0,A69-1303-56488,A69-1303
56489.0,A69-1303-56489,A69-1303
56490.0,A69-1303-56490,A69-1303
56491.0,A69-1303-56491,A69-1303
56492.0,A69-1303-56492,A69-1303
56493.0,A69-1303-56493,A69-1303
56494.0,A69-1303-56494,A69-1303
56495.0,A69-1303-56495,A69-1303
56496.0,A69-1303-56496,A69-1303
56497.0,A69-1303-56497,A69-1303
56498.0,A69-1303-56498,A69-1303
56499.0,A69-1303-56499,A69-1303
56500.0,A69-1303-56500,A69-1303
58623.0,A69-1303-58623,A69-1303
58624.0,A69-1303-58624,A69-1303
58625.0,A69-1303-58625,A69-1303
58626.0,A69-1303-58626,A69-1303
58627.0,A69-1303-58627,A69-1303
58628.0,A69-1303-58628,A69-1303
58629.0,A69-1303-58629,A69-1303
58630.0,A69-1303-58630,A69-1303
58631.0,A69-1303-58631,A69-1303
58632.0,A69-1303-58632,A69-1303
58633.0,A69-1303-58633,A69-1303
58634.0,A69-1303-58634,A69-1303
58635.0,A69-1303-58635,A69-1303
58636.0,A69-1303-58636,A69-1303
58637.0,A69-1303-58637,A69-1303
58638.0,A69-1303-58638,A69-1303
58639.0,A69-1303-58639,A69-1303
58640.0,A69-1303-58640,A69-1303
58641.0,A69-1303-58641,A69-1303
58642.0,A69-1303-58642,A69-1303
58643.0,A69-1303-58643,A69-1303
58644.0,A69-1303-58644,A69-1303
58646.0,A69-1303-58646,A69-1303
58647.0,A69-1303-58647,A69-1303
58648.0,A69-1303-58648,A69-1303
63833.0,A69-1303-63833,A69-1303
63836.0,A69-1303-63836,A69-1303
